dr7objid,ra,dec,length_avg,length_stdev,width_avg,width_stdev,length_scaled,bar_meas,gz2id,kind,z,abs_mag,color(g-r),galaxyid,mass,Mr,Redshift
587736545773682914,223.93631,5.3074726,7.865460400000001,1.9383629,2.2112483,1.4277416,0.42946958,4,26109.0,SF,0.0451874,-20.3279152,0.6662157,371870.0,10.265833,-21.227219,0.0451874
587736545773748417,224.08001,5.235843599999999,7.392108,0.9417523,1.711128,0.87223486,0.39565548,4,33821.0,Low S/N Liner,0.0451529,-20.1247215,0.7956274,371878.0,10.284,-21.032156,0.0451529
587736545776041998,229.19806,4.926767099999998,8.468906800000001,1.4905859,2.3118579,1.4310997,0.80225677,6,26106.0,Unclassifiable,0.0354151,-19.8653717,0.9519295,372014.0,10.283422,-20.653828,0.0354151
587736546309046366,220.42897,5.9527553,3.4990624,0.86115907,1.1339221000000002,0.5875576,0.21959254,6,4466.0,SF,0.015306799999999999,-19.2573833,0.3763659,372490.0,9.585896,-20.003464,0.015306799999999999
587736546313044118,229.60938,5.2192152,7.7312963,1.3909976000000002,2.4427866000000003,0.60713723,0.31264954,4,9359.0,AGN non-Liner,0.0377938,-20.7365894,0.7743415,372741.0,10.495636,-21.521122000000002,0.0377938
587736546313830478,231.36453,5.0083128,3.833064,0.66108334,1.6002208999999998,0.57818832,0.27816728,3,16134.0,SF,0.035770800000000005,-20.2275524,0.6991576999999999,372811.0,10.292239,-21.026987,0.035770800000000005
587736546314289251,232.44085,5.015138200000001,4.4677422999999985,0.59301289,1.0243846,0.12400822,0.34979845,5,24120.0,SF,0.0371763,-19.978614800000006,0.3463622,372831.0,9.856828,-20.825924,0.0371763
587736546314551525,233.08802000000003,4.9590086,7.0210544000000015,0.88498115,1.4702142,0.58079847,0.45223231,4,40023.0,SF,0.0378638,-19.6633282,0.3879865,372847.0,9.775864,-20.49708,0.0378638
587736546314551700,233.01224,4.9340838,6.323623400000002,1.9534081,1.9542214,1.1014695,0.52685825,3,58306.0,Composite,0.05028219999999999,-20.0807304,0.6678494,372848.0,10.160667,-20.876423000000003,0.05028219999999999
587736546315075839,234.16389,4.7343974,4.0173586000000014,0.13483854,0.69989783,0.35921931,0.39142552,3,223165.0,SF,0.037771,-18.3207779,0.6442328,372873.0,9.434489,-19.227997,0.037771
587736546315206768,234.54443,4.7803969,6.3298734,0.94352266,1.3359299,0.29354811,0.333916,5,7820.0,SF,0.0228178,-19.7896671,0.6293006999999999,372879.0,9.980874,-20.509527,0.0228178
587736546315993161,236.28588,4.6122811,9.7535793,3.3133352,2.2550062,1.4511804,0.48319763,4,21917.0,Composite,0.04079,-20.2282162,0.7196876,372928.0,10.258148,-21.112258999999998,0.04079
