name,ra,dec,z,flux_oiii,petro_abs_mag,central
J110359.94-002619.7,165.99976999999998,-0.43879262,0.101952,-15.64359,-20.131826399999998,1
J110343.58-001423.2,165.93157,-0.23976962,0.0838831,-15.493456,-19.5765171,0
J110145.38-010025.9,165.43907,-1.0071826,0.0853814,-15.620691,-19.806919100000002,1
J110249.45-000946.2,165.70604,-0.16282715,0.102137,-14.827951,-20.6392155,1
J110232.76-001251.0,165.63648999999998,-0.21418006,0.113187,-15.606604999999998,-20.153076199999997,1
J110158.00-003135.9,165.49167,-0.52662767,0.0826842,-14.989773000000001,-20.5676136,1
J110204.78-003804.7,165.51991999999998,-0.63464014,0.06836289999999999,-14.9248,-20.3590145,1
J110050.28-003015.8,165.2095,-0.50438049,0.150687,-15.49819,-21.2902126,1
J105907.76-000346.8,164.78232,-0.062999195,0.0765072,-15.527159,-20.5526314,1
J110258.72+003828.0,165.74466999999999,0.6411015999999999,0.0954134,-15.249401999999998,-20.0718021,0
J110302.36+003712.1,165.75983,0.62001967,0.111944,-15.505514000000002,-20.8832645,1
J110310.73+004046.3,165.79471,0.67953984,0.0956058,-15.469752,-21.339605300000002,1
J110336.17+004611.2,165.90069,0.76979147,0.0959035,-15.399235000000001,-20.7524223,1
J110415.76+005029.3,166.06568000000001,0.84146805,0.185718,-15.447382000000001,-21.3381844,1
J110451.41+003313.8,166.21421,0.55383842,0.0745487,-15.601425,-19.873018300000002,1
J111352.76+000014.4,168.46983999999998,0.0039990028,0.07440930000000001,-15.487846,-20.5867958,1
J111100.61-005334.8,167.75253,-0.89300905,0.0903689,-13.712976999999999,-21.8478107,1
J110940.66-010118.0,167.4194,-1.021666,0.10886300000000002,-15.046876000000001,-20.186851500000003,1
J110937.89-010550.0,167.40788999999998,-1.0972263,0.0643169,-15.365919,-20.2515659,1
J111222.18-001519.4,168.09242,-0.25538229,0.12405899999999999,-14.677894,-21.8624802,1
J111202.59-001029.3,168.01079,-0.17481672,0.0249147,-15.147716,-19.8736248,1
J110920.13-005113.0,167.33389,-0.85359797,0.0465905,-15.448312,-21.1894302,1
J110830.66-004221.6,167.12773,-0.7060095000000001,0.126724,-15.371363,-20.6827984,1
J110914.56-004114.5,167.31067,-0.68736102,0.028761900000000003,-15.225051,-18.430303600000002,1
J110925.31-000551.8,167.35544,-0.097731256,0.0128582,-15.070435,-19.304012300000004,1
J110920.16-002625.5,167.33399,-0.44040512,0.0655185,-15.567239,-21.0291195,1
J110821.07-010316.2,167.08781000000002,-1.0545052,0.108554,-15.648822000000001,-20.1484222,1
J110821.75-001257.9,167.09062,-0.21607889999999996,0.182936,-14.658093,-21.7838669,1
J110744.89-001121.2,166.93706,-0.18923192,0.06740689999999999,-15.445414999999999,-20.009435699999997,0
J110757.13-003324.8,166.98803999999998,-0.55688696,0.07396269999999999,-15.526213,-20.5013428,1
J110807.46-000026.9,167.03108999999998,-0.0074777509,0.11232,-15.444717,-20.328256600000003,0
J110617.71-004542.2,166.57378,-0.76171751,0.0311476,-15.305007000000002,-17.968977,1
J110716.40+005147.4,166.81835,0.86316708,0.06792739999999999,-15.252366,-19.4658737,1
J110721.78+002819.1,166.84077,0.47195848,0.0438217,-15.342532,-18.9563427,1
J110752.73+011340.9,166.96971000000002,1.2280347,0.0744642,-15.615991000000001,-19.5108318,1
J110752.84+004922.8,166.97017,0.82300059,0.140898,-15.429345999999999,-21.4464169,1
J110827.45+001455.0,167.11438,0.24860428,0.126744,-14.895395,-21.051998100000002,1
J110833.42+000528.1,167.13923,0.091147613,0.0986472,-15.630374,-20.8356113,1
J110946.24+004849.4,167.44268,0.81371592,0.0629572,-15.378115,-21.6857243,1
