name,z,flux,luminous
J111350.05+550338.6,0.070738,-15.13,39.954677
J150355.34+320154.9,0.07077699999999999,-15.33,39.755179
J150835.16-013106.4,0.070822,-14.82,40.265758
J121629.91+084253.3,0.070869,-14.0,41.086363
J121518.24+014751.2,0.070883,-14.31,40.776543
J143457.18+403951.8,0.070912,-15.22,39.866916
J010409.16+000843.7,0.070925,-14.61,40.477083
J113638.38+424553.0,0.071062,-14.77,40.318843
J131136.36+580801.6,0.071088,-14.39,40.699176
J010215.62-083637.5,0.071166,-14.36,40.730176
J112714.10+442103.2,0.071269,-14.18,40.911495
J114003.40+411503.5,0.07132100000000001,-14.11,40.98216
J131549.17+124936.3,0.071376,-14.52,40.572863
J133848.18+602643.9,0.071399,-14.49,40.603156
J135929.57+585943.6,0.071493,-14.7,40.394356
J135726.92+442315.0,0.07152599999999999,-14.77,40.32477700000001
J212928.99+095631.9,0.071541,-14.47,40.624968
J112005.32+545602.6,0.071626,-15.13,39.966051
J162930.02+420703.3,0.071698,-14.73,40.366968
J124307.03+421231.1,0.071703,-14.22,40.877031
J142934.03+413117.8,0.071726,-15.01,40.087324
J100742.52+425207.3,0.07182000000000001,-14.66,40.438518
J130052.11+564105.9,0.071838,-13.93,41.168747
J090018.98+075014.5,0.071865,-13.85,41.24909
J110643.63+072202.4,0.07187,-14.95,40.14915300000001
J074947.16+365300.5,0.071935,-14.51,40.589978
J022849.52-090153.8,0.071962,-15.0,40.10032
J104733.94+014140.3,0.07207899999999999,-14.91,40.191802
J151024.93+005844.0,0.072153,-13.92,41.182738
J163152.23+345328.7,0.072234,-14.74,40.363762
J131618.84+021407.5,0.072272,-14.78,40.324242
J225331.40+004825.5,0.07227599999999999,-13.56,41.544292
J082325.92+065106.5,0.072483,-14.92,40.186902
J001903.17+000659.2,0.072546,-14.49,40.617694
J021640.92-094009.8,0.07257999999999999,-14.2,40.908122
J110756.55+474434.8,0.072659,-13.98,41.12911500000001
J081550.24+250641.0,0.072687,-15.06,40.049466
J223000.38-094622.1,0.07269099999999999,-14.53,40.579517
J153446.63+423536.8,0.07270399999999999,-14.11,40.99968
J105439.32+475144.2,0.072723,-14.29,40.819918
J111654.18+491006.2,0.072785,-14.29,40.82069600000001
J222705.69-090424.8,0.072951,-15.17,39.942775
J132741.73+585941.6,0.072964,-14.74,40.372938
J074646.21+402302.2,0.073153,-14.29,40.825299
J104348.48+581147.6,0.07316900000000001,-14.32,40.795499
J105755.67+482502.0,0.073262,-14.95,40.166658
J073631.83+383058.4,0.073296,-15.23,39.887082
J135159.15+025034.0,0.073353,-14.72,40.397792
J131451.53+421819.3,0.073375,-14.26,40.858065
J110503.60+074531.0,0.073385,-14.14,40.97819000000001
J121342.81+422743.1,0.07341900000000001,-13.64,41.478613
J153810.05+573613.1,0.073424,-14.77,40.348675
J135943.16-022521.8,0.073449,-14.47,40.648986
J112904.01+061140.0,0.073449,-13.6,41.518986
J144518.75+553852.0,0.073477,-14.6,40.519334
J152554.08+540028.5,0.07357000000000001,-15.2,39.920489
J151334.47+503128.6,0.073571,-14.85,40.270501
J131711.86+404308.9,0.07361000000000001,-14.33,40.790985
J143710.45+565353.8,0.07363099999999999,-14.06,41.061245
J134351.07+000434.8,0.073693,-14.16,40.962014
J080151.99+295028.3,0.07372000000000001,-14.07,41.052349
J235654.30-101605.5,0.073758,-13.18,41.942819
J080546.97+260533.0,0.073785,-13.94,41.183153
J115746.11+412637.7,0.073787,-14.96,40.163178
J072908.72+400836.7,0.07385800000000001,-13.87,41.254056
J235101.20-100039.8,0.07387300000000001,-14.94,40.184242
J123804.92+580942.5,0.07388,-14.57,40.55432800000001
J020823.80-002000.7,0.073922,-13.73,41.394847
J095227.79+014121.4,0.073933,-14.26,40.864983
J075709.33+423616.4,0.073979,-15.52,39.605551
J154012.91+560946.5,0.073996,-13.53,41.595761
J145153.78+554118.3,0.07422000000000001,-15.16,39.968522
J105526.41+563713.1,0.074321,-14.8,40.329764
J113111.94+100231.3,0.074401,-14.88,40.250747
J102257.78+022542.2,0.074406,-14.22,40.910808
J081617.82+400045.3,0.074441,-14.95,40.181238
J111639.15+040427.6,0.074524,-14.35,40.782256
J112719.50+041157.2,0.07457899999999999,-15.05,40.08293
J085933.16+063624.6,0.07470299999999999,-14.43,40.704448
J142925.07+451831.8,0.074752,-13.71,41.425047
J150752.53+515111.1,0.074785,-14.28,40.85545
J110241.46+420652.0,0.074907,-14.42,40.71694
J141635.20+552853.6,0.07493,-15.13,40.00722
J091917.89+050952.9,0.074947,-14.98,40.157428
J162903.60+361924.5,0.075067,-13.99,41.14889
J094214.58+595940.3,0.07509400000000001,-14.78,40.359218
J135910.91+531933.8,0.075112,-14.59,40.549437
J111154.38+062625.9,0.075125,-15.16,39.979596
J150302.15+382118.6,0.07513,-14.74,40.399656
J145121.06+012805.7,0.075133,-14.58,40.559693
J135542.76+644045.0,0.07513500000000001,-13.31,41.829717
J121558.83+012153.2,0.075196,-15.3,39.840459
J095852.86+591701.8,0.07520299999999999,-15.19,39.950544
