name,ra,dec,z,lum_oiii,petro_abs_mag,central,gz2id
J085559.87+485351.9,133.99946,48.897753,0.055226,40.86013300000001,-20.0664349,1,78242
J162131.86+302154.4,245.38274,30.365098,0.055299,40.321326,-19.5027199,1,147592
J101645.11+421025.5,154.18797,42.173744,0.055322,40.981701,-20.6233158,1,38381
J093643.14+505249.6,144.17973999999995,50.880456,0.055378,40.522615,-20.8576183,1,23941
J135244.42+572442.3,208.18508,57.41176,0.05563,40.416714999999996,-19.6305904,1,141701
J092209.75-003222.5,140.54062,-0.539574,0.056126,39.78473252653474,-20.4348984,0,40178
J152108.92+504007.0,230.28718,50.668607,0.056170000000000005,40.665440011835486,-20.220253,0,59647
J152158.52+540151.7,230.49385,54.031033,0.056207000000000014,40.396035,-19.8458385,1,112829
J094842.67+502931.5,147.1778,50.492079,0.056464,41.430156999999994,-21.1062412,1,20357
J142739.94+042014.2,216.91641,4.337268,0.056491,40.27058897199254,-19.5663834,0,139708
J143710.11-014054.5,219.29212,-1.681803,0.056557,39.531644,-20.1528358,1,66227
J221541.37+001836.3,333.92237,0.31008,0.056691,40.293783000000005,-20.1241474,1,70920
J093240.55+023332.7,143.16896,2.559072,0.056793,40.595407,-20.250721,1,66283
J093308.88+534748.9,143.287,53.796926,0.057267,40.43292,-19.7361641,1,118944
J081653.28+285423.1,124.22198,28.906405,0.057329999999999985,41.103914,-19.4746017,1,168965
J091559.52+532657.8,138.99801000000002,53.449375,0.057548,40.397346012240305,-19.4162807,0,185374
J141403.15+352311.4,213.51314,35.386499,0.057576,41.267784999999996,-20.5653687,1,47085
J222435.29-001103.8,336.14705,-0.184401,0.058142999999999986,40.766647999999996,-20.1653309,1,73036
J163118.75+244244.2,247.82814,24.712276,0.058152,40.27678800619901,-20.7738342,0,30210
J160655.95+332400.3,241.73312,33.400086,0.058551,41.10297372861333,-20.3410778,0,63774
J164021.03+462843.3,250.08763,46.478687,0.058574,41.043329,-19.562353100000006,1,188798
J085737.78+052821.3,134.40743,5.472591,0.058623,40.724086,-20.7642174,1,37295
J222857.71-005350.9,337.24045,-0.897475,0.058735,40.385813,-21.002910600000003,1,22816
J092234.80+050839.7,140.64502,5.144361,0.058858000000000014,40.32770599999999,-21.3453808,1,16510
J164527.10+420445.7,251.3629,42.079361,0.058874,39.6879520209679,-20.5995178,0,46292
J112409.01+011857.3,171.03753999999995,1.315913,0.05897,40.029427,-20.5338268,1,50096
J163115.53+235257.5,247.81469,23.882636,0.059001,40.969902000000005,-20.4097099,1,59686
J163202.48+320339.4,248.01034,32.060934,0.05902,40.33019399999999,-21.1531429,1,18861
J093259.60+040506.1,143.24835,4.085026,0.059036,40.490439,-20.6607819,1,37838
J163332.14+245905.0,248.38391,24.984736,0.059338,41.015057,-20.7842655,1,37352
J115953.40+051330.0,179.97248000000005,5.224997,0.059379,40.035683,-20.5279694,1,44993
J141000.36+131040.6,212.50149,13.177948,0.059605999999999985,40.569137,-20.289217,1,64056
J133804.30+394110.2,204.5179,39.686158,0.059638,40.419623,-20.2049084,1,78615
J002621.30+000915.0,6.588746,0.154162,0.05964700000000001,40.039759000000004,-20.7598152,1,36238
J160436.24+435247.3,241.15098,43.879811,0.059975,39.954724999999996,-20.7119942,1,36318
J081452.61+370130.8,123.71921,37.025226,0.059999,40.98508699999999,-20.027469600000003,1,105815
J113035.89+415830.3,172.64956,41.975096,0.060001,40.105117,-20.0307808,1,103715
J093641.06+101415.9,144.17109,10.237739,0.060015,41.20532899999999,-21.1298389,1,22192
J163816.60+215945.4,249.56918,21.995948,0.060286,41.039409,-20.5596695,1,52778
J160503.17+331427.8,241.26321,33.24105,0.060299,39.97960418322612,-19.5246105,0,181608
J081755.94+372213.5,124.48309,37.370411,0.060317,40.399875,-20.718605,1,41598
J112151.23+405147.0,170.46345,40.863068,0.060341,40.890235000000004,-21.5531807,1,12807
J114548.23+643504.5,176.45094,64.584593,0.060412,39.35130048842923,-20.126955,0,84131
J084025.51+033301.8,130.1063,3.550489,0.060501,41.132634,-20.0021248,1,108613
J230649.78+005023.3,346.70741,0.839815,0.060677,40.42526500000001,-20.0302792,1,107813
J094057.20+032401.2,145.23833,3.400338,0.060733,40.576101,-20.0947685,1,101257
J222136.14+005052.3,335.40059,0.847859,0.060756,40.296444,-20.0398693,1,105698
J102925.73+140823.2,157.35721,14.139788,0.060818,40.907368,-21.160881,1,23731
J090031.76+432709.0,135.13234,43.452503,0.060879,40.14827700000001,-19.4761963,1,224551
J101733.20-000145.2,154.38835,-0.029232,0.060974,40.589690000000004,-19.8711109,1,134532
