name,ra,dec,z,lum_oiii,petro_abs_mag,petro_app_mag,central,gz2id,gz2class
J145959.29+401803.9,224.99705,40.301071,0.123893,41.56735992533077,-21.2211456,16.8189826274415,0,169780.0,Er
J100056.41+045627.2,150.23505,4.940894999999999,0.123896,41.39738187311737,-21.2081318,16.8320532315424,0,155172.0,Sb
J085512.13+032950.6,133.80055,3.497379,0.123971,41.0379303876201,-21.3530331,16.688571614687213,1,155011.0,Sb2l(o)
J142300.90+571043.4,215.75374,57.178720999999996,0.12408800000000005,40.52878537917756,-21.1756096,16.86820821164956,1,197428.0,Sc?t
J115749.52+023240.6,179.45635,2.54462,0.12416700000000001,40.68936220555384,-20.4270954,17.618215617701715,1,,
J215339.65+115737.6,328.41519,11.960435,0.124207,40.91965412352421,-20.5587883,17.487278431431125,1,,
J085129.72+394848.9,132.87383,39.813589,0.12420999999999999,41.239676013417494,-21.6960564,16.350067000753373,1,87554.0,SBb3m
J102618.68+381005.4,156.57782,38.168153000000004,0.12421900000000001,40.57974167978757,-21.197855,16.848438401013688,1,170050.0,SBc2m
J080452.74+212050.2,121.21973,21.347279,0.12423900000000004,41.46988758728284,-22.0205402,16.0261309379905,1,63551.0,Er
J165111.90+641731.6,252.79959,64.292106,0.124286,41.0802303734506,-21.2202015,16.827357095314742,1,191602.0,Ei
J143318.21+494301.3,218.32587999999998,49.717026000000004,0.12434200000000001,40.560638622984634,-21.0847111,16.963904480197996,1,226613.0,Er
J151600.59+342119.1,229.00243999999998,34.355315000000004,0.12437999999999999,41.65091554021405,-20.7001896,17.349142965558677,0,,
J014010.57-000001.8,25.044043,-0.000493,0.12439000000000001,40.15098839849817,-20.6403313,17.409189911752172,1,,
J135244.63-001526.2,208.18597,-0.257266,0.124431,41.001287053584406,-21.4029617,16.647332812386118,1,150645.0,Er
J095929.46+031101.5,149.87274,3.183755,0.124445,41.27138900985551,-21.116077399999998,16.93448111150009,1,219640.0,Er
J101825.39+583359.4,154.60578,58.566504,0.12449,40.36171664540744,-21.001125299999998,17.050281591361756,1,,
J091139.43+045650.3,137.91431,4.9473,0.12463199999999999,40.51274970804361,-20.828598,17.225484115678533,0,,
J020257.65+141613.7,30.740221000000002,14.270481,0.124732,40.65347648033973,-20.5055408,17.550423560746662,1,,
J144250.46+545308.6,220.71022999999997,54.885709999999996,0.124759,41.55367260464392,-21.7151375,16.341334824152938,1,85943.0,Sc(i)
J132401.63+454620.7,201.00681,45.772422999999996,0.12483499999999999,41.29422442059783,-21.2186604,16.839241193470844,1,189409.0,Sb1l
J115101.76+505457.1,177.75735,50.915864,0.12485299999999999,40.52435506251882,-21.2197227,16.838517285041632,1,169915.0,Ei
J112841.60+633551.3,172.17334,63.597588,0.12488699999999996,41.504601776993134,-21.4314194,16.62745964424931,1,,
J082218.48+330528.1,125.57700000000001,33.091132,0.125013,41.15551546124462,-20.713413199999998,17.34783269996245,1,,
J123748.50+092323.2,189.45208,9.389775,0.12506099999999998,41.11586327877993,-20.9606323,17.101514670594682,1,,
J170947.83+572325.6,257.44931,57.390451,0.125074,41.21595745539838,-20.513711899999997,17.548679054718352,0,,
J134825.74+445053.8,207.10727,44.848275,0.125077,41.215979187014156,-20.5808029,17.481644355368108,1,,
J231953.13-082715.2,349.97137999999984,-8.454213000000001,0.125117,40.866268889948365,-21.0476685,17.01552930966053,1,,
J085918.28+361924.8,134.82616000000002,36.323547,0.125128,40.546348541318544,-20.8006001,17.26280407262421,1,,
J213951.32-080541.4,324.96384,-8.09483,0.125237,40.62713741944914,-21.270719500000002,16.794728622578752,0,,
J110423.64+503404.3,166.0985,50.567864,0.12525899999999998,41.497296555695634,-20.5539474,17.511913060507688,1,,
J014313.48-095121.3,25.806163,-9.855911,0.125283,40.9674701256281,-21.3466892,16.719621006222187,1,,
J170534.95+334011.7,256.39562,33.669925,0.125341,41.1378894431601,-21.6735401,16.393856658096663,1,102580.0,Er
J214611.59-070449.3,326.54829,-7.080353999999999,0.125375,41.50813515590845,-21.9966125,16.071420983023913,1,,
J084000.14+443737.9,130.00058,44.627206,0.125391,41.008250761389945,-21.1470642,16.921268862235028,1,210759.0,Sa?t
J101248.93+555918.4,153.20389,55.988456000000006,0.125524,40.75921113688066,-21.0770416,16.993780327362607,1,239615.0,Ser
J103110.56+115317.7,157.79402,11.888255000000001,0.125563,41.439492549525156,-21.5381413,16.533409975901755,1,114873.0,Ei
J213245.28+121256.9,323.18867,12.215802,0.125566,41.02951419287567,-21.1059933,16.965614070833112,1,,
J110325.63+424047.3,165.85681,42.679796,0.125585,41.12965125490649,-21.5552578,16.516704809539362,1,123477.0,Sa
J102006.49+564535.5,155.02705,56.759873999999996,0.125701,41.060487585889454,-20.801857000000002,17.272273342450127,1,,
J124257.04-011918.9,190.73765,-1.3219239999999999,0.125769,40.84097747475153,-20.5106506,17.564749610177262,1,,
J085836.04+353634.3,134.65018,35.60954,0.125806,40.45124391590095,-20.716127399999998,17.359963497093485,1,,
J103538.45+434040.5,158.91019,43.677909,0.125807,40.91125111587888,-20.309454000000002,17.766655561662855,1,,
J213338.43+101923.6,323.4101100000001,10.323212,0.125822,41.061359108386704,-21.380268100000002,16.696121413505466,1,,
J085021.22+072552.6,132.58843000000002,7.431275,0.125879,40.72176935750749,-20.8180008,17.259452245080993,1,,
J154346.17+331251.6,235.94237,33.214335,0.125881,40.861783748695366,-20.4968681,17.580622253774855,0,,
J074639.49+444023.2,116.66453,44.673122,0.125881,41.031783748695375,-20.6519699,17.425520453774855,0,,
J121342.70+054338.5,183.42792,5.727357,0.125904,40.85194923022036,-21.2210846,16.85683476379658,1,190443.0,Sb2m
J085416.47+362748.3,133.56863,36.463421999999994,0.125944,40.87223694910518,-20.6579762,17.420689093122846,0,,
J092739.77+050312.6,141.91571000000005,5.053489,0.12600799999999998,41.8926971011753,-22.216434500000002,15.863423817972803,1,52227.0,Sc2l
J090015.28+510800.2,135.06368,51.133377,0.12603499999999998,41.582891154739144,-20.975833899999998,17.104527554878533,0,,
J074324.40+255157.0,115.85165,25.865837,0.12603599999999998,40.192898341075676,-20.2397194,17.840660687637197,1,,
J004413.76-105718.9,11.057315,-10.955252999999999,0.12605999999999998,40.75307079531735,-20.908514,17.172313232251792,1,,
J080403.41+404809.3,121.0142,40.802595000000004,0.126063,41.39309234969026,-22.4862328,15.594650319714345,1,31963.0,Sb?t
J013023.43-102512.8,22.59763,-10.420233,0.12606900000000001,40.8731354568315,-20.5162487,17.56474619089723,1,,
J150307.20+421744.2,225.77998,42.295603,0.126086,40.29325758211507,-21.0328922,17.048419348822748,1,,
J114411.75+102202.6,176.04894,10.367382000000001,0.126099,41.363350960453154,-21.0229111,17.05864257198278,1,,
J145047.67+040013.1,222.69862999999998,4.003644,0.126147,40.493695655072756,-20.4153652,17.667082262426568,1,,
J082944.34+325221.0,127.43476000000001,32.872503,0.126271,41.77458548356013,-21.0653362,17.01941874554498,1,230805.0,Ei(m)
J210205.34-064756.1,315.52225,-6.798927000000001,0.126308,41.36485082041086,-22.1642036,15.921239457061395,1,,
J085842.44+343550.5,134.67685,34.597353000000005,0.126318,40.764922519161615,-21.319397,16.766232000695442,1,150126.0,SBc2t
J082942.67+415436.9,127.42778,41.910244,0.126327,41.9449870429774,-21.044094100000002,17.04170223816271,1,,
J153532.87+333916.8,233.88695,33.654654,0.126388,40.89542424476835,-20.6380157,17.448914519713508,1,,
J141556.85+052029.6,213.98686,5.341545,0.126406,41.965553213094736,-21.4047337,16.682531009643647,1,160918.0,Ei
J134548.51+114443.6,206.45211,11.745431,0.126413,42.04560336227287,-21.1621742,16.925220576997436,1,162772.0,Er
J014105.87-100948.1,25.27447,-10.163358,0.12642,41.06565350855573,-20.5143108,17.573214037596777,0,,
J140604.81+580041.3,211.52004,58.011478000000004,0.126524,40.756398198214725,-21.026800199999997,17.062656171345402,1,215445.0,Sb
J121148.14+012139.9,182.95057,1.361083,0.126605,41.056977754935374,-20.288961399999998,17.801998307833625,1,,
J152620.64+480317.2,231.58599999999998,48.054790999999994,0.126612,41.527027821935405,-21.551651,16.539438583456075,1,128307.0,Er
J094415.78+001101.2,146.06576,0.183659,0.12670399999999998,41.03768557728811,-20.7418633,17.350932594682973,0,,
J222356.63+122201.4,335.98597,12.36706,0.126716,40.69777133475448,-20.8270893,17.26592907135537,1,,
J094813.75+573513.5,147.05728,57.587072,0.126742,40.69795711355686,-20.770414399999996,17.323085936375968,1,,
J224028.86-010649.7,340.1202600000001,-1.113808,0.126801,41.168378541198244,-21.282503100000003,16.812090582411212,1,,
J143106.16+382537.1,217.77566000000002,38.426961999999996,0.126845,40.12869269316961,-20.8588543,17.236554448617905,1,,
J124624.41+052146.8,191.60169,5.3630010000000015,0.126849,40.20872124680636,-20.3909187,17.704564132398733,1,,
J113925.56+451346.7,174.85648999999995,45.229649,0.126853,40.96874979950447,-21.4695702,16.625986713988983,0,147011.0,Ei
J225522.28+142204.6,343.84285,14.367956,0.126859,41.34879262679184,-21.067401899999997,17.028266132267305,1,,
J074903.14+224423.5,117.2631,22.739856,0.126948,40.1394276503711,-20.7295933,17.367722408275075,0,,
J141234.68-003500.0,213.14449,-0.583342,0.12698099999999998,40.61966299061658,-20.4709721,17.626954269064402,1,,
J114455.16+042020.7,176.22984,4.339092,0.127027,41.47999093430105,-20.553722399999998,17.545054944953954,1,,
J153415.44-022858.8,233.56435,-2.482989,0.127045,40.650119226393436,-20.6115971,17.48751315686508,1,,
J083207.80+403452.7,128.03252,40.581293,0.12706900000000002,41.83029025304579,-21.1505184,16.949035670622056,1,,
J090920.21+064502.8,137.33421,6.750788000000001,0.12718800000000002,40.73113776310958,-20.8545742,17.247179286805984,1,,
J222619.93-095532.2,336.58306,-9.925623,0.12723900000000002,40.62150072871543,-21.583385500000002,16.519310003142458,1,,
J033109.36-011046.8,52.78900600000001,-1.179675,0.127363,40.982382601130034,-20.6970158,17.4079686198488,1,,
J154606.97+034757.0,236.52903999999998,3.799176,0.127379,41.33249632592812,-21.452238100000002,16.653041511733704,1,159458.0,Ec
J105943.04+111453.4,164.92932,11.248171000000001,0.12745499999999998,41.05303631546994,-21.1078148,16.99886649861623,0,234204.0,Sb
J024937.70-003237.6,42.407071,-0.543786,0.127497,41.693334586783315,-20.775568,17.33188757890349,1,,
J012013.54+143858.0,20.056407999999998,14.649457,0.127661,40.23449828540878,-20.7435207,17.366955970957395,0,,
