name1,ra1,dec1,z1,lum_oiii1,petro_abs_mag1,petro_app_mag1,central1,gz2id1,gz2class1,name2,ra2,dec2,z2,lum_oiii2,petro_abs_mag2,petro_app_mag2,central2,gz2id2,gz2class2
J130737.68+433117.7,196.90702,43.521587,0.035371,39.980632891145966,-19.8727341,15.312603973309901,0.0,25996.0,Er,J085337.44+004409.6,133.40601,0.73600722,0.040922900000000005,39.92737652351886,-19.9562263,15.554540956727829,0.0,35546.0,Sb
J130737.68+433117.7,196.90702,43.521587,0.035371,39.980632891145966,-19.8727341,15.312603973309901,0.0,25996.0,Er,J082149.61+391449.6,125.4567,39.247099,0.0282004,39.87264012228937,-19.8864307,14.795431296293025,0.0,10702.0,Ei
J130737.68+433117.7,196.90702,43.521587,0.035371,39.980632891145966,-19.8727341,15.312603973309901,0.0,25996.0,Er,J231321.76+141648.8,348.34067000000016,14.280225,0.0393365,39.83601267085119,-19.8214931,15.600903811297126,0.0,,
J130737.68+433117.7,196.90702,43.521587,0.035371,39.980632891145966,-19.8727341,15.312603973309901,0.0,25996.0,Er,J115606.83+592529.7,179.02847,59.424927,0.032029300000000004,39.83105207632792,-19.8308125,15.133674459125373,0.0,19924.0,Sb
J095955.85+130237.8,149.98271,13.043827,0.035463,40.582947999999995,-21.302969,13.888156709878647,1.0,3893.0,Sb?t,J104852.92+480314.8,162.2205,48.054107,0.040949,40.700563,-21.2591438,14.253049307761312,1.0,5426.0,Sc2t(r)
J095955.85+130237.8,149.98271,13.043827,0.035463,40.582947999999995,-21.302969,13.888156709878647,1.0,3893.0,Sb?t,J143031.19+524225.8,217.62996,52.70718000000001,0.0447706,40.349902978202245,-21.2996502,14.412330166349587,1.0,6914.0,SBb2m
J095955.85+130237.8,149.98271,13.043827,0.035463,40.582947999999995,-21.302969,13.888156709878647,1.0,3893.0,Sb?t,J104000.58+390720.0,160.0024,39.122224,0.0308047,40.316612139049475,-21.2308922,13.646974730005605,1.0,1870.0,SBb2m
J095955.85+130237.8,149.98271,13.043827,0.035463,40.582947999999995,-21.302969,13.888156709878647,1.0,3893.0,Sb?t,J075953.49+232324.2,119.97287,23.390062,0.0291703,40.298635,-21.3161354,13.440719416456695,1.0,1446.0,Sb2m
J095955.85+130237.8,149.98271,13.043827,0.035463,40.582947999999995,-21.302969,13.888156709878647,1.0,3893.0,Sb?t,J210319.51+105638.9,315.8313100000001,10.94415,0.0430047,40.18624289075097,-21.3115387,14.310270257250481,1.0,,
J110101.78+110248.9,165.25742,11.046922,0.035573,40.975708700378014,-20.164978,15.033048507640741,0.0,17583.0,Ei,J131535.05+620728.7,198.89603,62.12464,0.0308028,40.890799341728744,-20.1799927,14.697737236155355,0.0,10943.0,Sb?l(m)
J110101.78+110248.9,165.25742,11.046922,0.035573,40.975708700378014,-20.164978,15.033048507640741,0.0,17583.0,Ei,J011221.31+150419.8,18.088793,15.072167000000002,0.0436466,40.136828189745685,-20.1361313,15.518863830458438,0.0,,
